Name: STRATO3, HW Version: 1.0, SW Version: 1.2, SN: 1001003000152
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;03:05:51;11:57:28;16.06.2022;Y;11;52 24.45655 N;008 19.18605 E;54.281;100.5;133.86;8696.1;-0.500;-32.875;9.178;340.70;8.6;66673
$;03:05:53;11:57:30;16.06.2022;Y;11;52 24.43626 N;008 19.23042 E;68.949;127.6;124.65;8682.4;-0.625;-32.625;8.720;340.850;8.6;66673
$;03:05:55;11:57:32;16.06.2022;Y;11;52 24.40878 N;008 19.28118 E;77.528;143.5;137.33;8667.6;-0.625;-32.625;8.682;341.410;8.6;66673
$;03:05:57;11:57:34;16.06.2022;Y;11;52 24.37767 N;008 19.32021 E;64.232;118.9;145.29;8653.6;-0.625;-32.375;8.812;342.130;8.6;66673
$;03:05:59;11:57:36;16.06.2022;Y;11;52 24.35402 N;008 19.35351 E;54.901;101.6;131.43;8639.9;-0.625;-32.250;10.117;342.670;8.6;66673
$;03:06:01;11:57:38;16.06.2022;Y;11;52 24.33344 N;008 19.39934 E;71.046;131.5;125.72;8626.2;-0.750;-32.125;10.422;343.630;8.5;66673
$;03:06:03;11:57:40;16.06.2022;Y;11;52 24.30550 N;008 19.45103 E;78.307;145.0;136.88;8612.2;-0.750;-32.125;12.459;344.100;8.6;66673
$;03:06:05;11:57:42;16.06.2022;Y;11;52 24.27460 N;008 19.49101 E;63.323;117.2;144.80;8598.6;-0.875;-32.0;23.399;344.790;8.6;66673
$;03:06:07;11:57:44;16.06.2022;Y;11;52 24.25163 N;008 19.52610 E;54.976;101.8;128.80;8584.5;-0.750;-31.875;38.101;345.500;8.5;66673
$;03:06:09;11:57:46;16.06.2022;Y;11;52 24.23163 N;008 19.57310 E;70.127;129.8;124.95;8570.2;-0.750;-31.625;9.445;346.170;8.5;66673
$;03:06:11;11:57:48;16.06.2022;Y;11;52 24.20439 N;008 19.62376 E;74.957;138.8;137.58;8556.7;-0.750;-31.625;11.604;346.720;8.5;66673
$;03:06:13;11:57:50;16.06.2022;Y;11;52 24.17506 N;008 19.66075 E;59.246;109.7;144.60;8542.7;-0.875;-31.500;10.292;347.320;8.5;66673
$;03:06:15;11:57:52;16.06.2022;Y;11;52 24.15281 N;008 19.69248 E;52.246;96.7;131.03;8528.9;-0.875;-31.375;11.9;348.70;8.5;66673
$;03:06:17;11:57:54;16.06.2022;Y;11;52 24.13213 N;008 19.73704 E;70.785;131.0;127.30;8515.5;-0.750;-31.250;10.361;348.529;8.6;66673
$;03:06:19;11:57:56;16.06.2022;Y;11;52 24.10342 N;008 19.78422 E;74.397;137.7;140.74;8501.0;-0.875;-31.250;9.674;349.440;8.5;66673
$;03:06:21;11:57:58;16.06.2022;Y;11;52 24.07339 N;008 19.81884 E;59.112;109.4;146.13;8487.8;-1.0;-31.125;9.773;350.269;8.5;66673
$;03:06:23;11:58:00;16.06.2022;Y;11;52 24.05113 N;008 19.85069 E;52.819;97.8;131.20;8473.6;-0.875;-30.875;10.56;350.799;8.5;66673
$;03:06:25;11:58:02;16.06.2022;Y;11;52 24.03096 N;008 19.89410 E;68.290;126.4;128.22;8460.0;-0.875;-30.750;11.642;351.609;8.5;66673
$;03:06:27;11:58:04;16.06.2022;Y;11;52 24.00239 N;008 19.93898 E;71.892;133.1;143.00;8446.1;-1.0;-30.750;11.871;352.200;8.5;66673
$;03:06:29;11:58:06;16.06.2022;Y;11;52 23.97251 N;008 19.97073 E;56.293;104.2;148.57;8431.5;-1.0;-30.750;10.986;352.760;8.5;66673
$;03:06:31;11:58:08;16.06.2022;Y;11;52 23.95021 N;008 20.00205 E;53.332;98.7;131.14;8418.3;-1.0;-30.500;14.38;353.429;8.5;66673
$;03:06:33;11:58:10;16.06.2022;Y;11;52 23.92877 N;008 20.04614 E;69.334;128.4;128.83;8404.5;-1.0;-30.375;10.506;354.230;8.5;66673
$;03:06:35;11:58:12;16.06.2022;Y;11;52 23.90017 N;008 20.09189 E;72.281;133.8;141.56;8391.5;-1.0;-30.375;11.223;354.630;8.5;66673
$;03:06:37;11:58:14;16.06.2022;Y;11;52 23.87061 N;008 20.12437 E;56.024;103.7;147.32;8378.2;-1.0;-30.250;13.329;355.480;8.5;66673
$;03:06:39;11:58:16;16.06.2022;Y;11;52 23.84922 N;008 20.15421 E;51.015;94.4;131.19;8364.0;-1.125;-30.0;12.405;356.190;8.5;66673
$;03:06:41;11:58:18;16.06.2022;Y;11;52 23.82858 N;008 20.19666 E;67.884;125.7;128.99;8350.2;-1.125;-30.0;11.978;356.890;8.5;66673
$;03:06:43;11:58:20;16.06.2022;Y;11;52 23.80035 N;008 20.24063 E;70.654;130.8;142.57;8336.8;-1.125;-30.125;11.337;357.570;8.5;66673
$;03:06:45;11:58:22;16.06.2022;Y;11;52 23.77136 N;008 20.27073 E;54.482;100.9;149.12;8322.7;-1.125;-30.0;39.597;358.309;8.5;66673
$;03:06:47;11:58:24;16.06.2022;Y;11;52 23.75006 N;008 20.29878 E;49.354;91.4;133.01;8308.8;-1.125;-29.875;12.154;358.850;8.5;66673
$;03:06:49;11:58:26;16.06.2022;Y;11;52 23.72976 N;008 20.33916 E;65.525;121.3;130.99;8295.7;-1.125;-29.625;13.794;359.619;8.5;66673
$;03:06:51;11:58:28;16.06.2022;Y;11;52 23.70122 N;008 20.38071 E;69.201;128.1;144.43;8281.7;-1.250;-29.625;14.420;360.320;8.6;66673
$;03:06:53;11:58:30;16.06.2022;Y;11;52 23.67242 N;008 20.40949 E;52.838;97.8;149.73;8267.8;-1.125;-29.500;14.717;360.959;8.5;66673
$;03:06:55;11:58:32;16.06.2022;Y;11;52 23.65182 N;008 20.43728 E;48.128;89.1;130.81;8253.7;-1.125;-29.375;13.687;361.529;8.5;66673
$;03:06:57;11:58:34;16.06.2022;Y;11;52 23.63189 N;008 20.47762 E;64.528;119.5;129.64;8240.0;-1.250;-29.375;13.1;362.450;8.5;66673
$;03:06:59;11:58:36;16.06.2022;Y;11;52 23.60435 N;008 20.51895 E;67.695;125.3;143.89;8225.9;-1.125;-29.250;13.138;363.70;8.5;66673
$;03:07:01;11:58:38;16.06.2022;Y;11;52 23.57640 N;008 20.54768 E;52.221;96.7;148.17;8211.9;-1.250;-29.125;13.641;363.700;8.5;66673
$;03:07:03;11:58:40;16.06.2022;Y;11;52 23.55640 N;008 20.57658 E;50.331;93.2;128.60;8197.9;-1.250;-29.0;14.847;364.329;8.5;66673
$;03:07:05;11:58:42;16.06.2022;Y;11;52 23.53677 N;008 20.61902 E;65.603;121.4;128.92;8183.7;-1.250;-28.875;15.495;365.230;8.5;66673
$;03:07:07;11:58:44;16.06.2022;Y;11;52 23.50995 N;008 20.66112 E;66.377;122.9;142.95;8170.3;-1.250;-28.750;15.846;365.829;8.5;66673
$;03:07:09;11:58:46;16.06.2022;Y;11;52 23.48342 N;008 20.69018 E;49.176;91.0;146.89;8156.1;-1.250;-28.750;15.366;366.429;8.5;66673
$;03:07:11;11:58:48;16.06.2022;Y;11;52 23.46491 N;008 20.72042 E;49.355;91.4;126.65;8142.1;-1.250;-28.500;15.305;367.350;8.5;66673
$;03:07:13;11:58:50;16.06.2022;Y;11;52 23.44568 N;008 20.76338 E;65.526;121.3;127.97;8128.8;-1.250;-28.625;14.725;368.19;8.5;66673
$;03:07:15;11:58:52;16.06.2022;Y;11;52 23.41916 N;008 20.80645 E;66.388;122.9;141.30;8115.1;-1.250;-28.500;15.312;368.489;8.5;66673
$;03:07:17;11:58:54;16.06.2022;Y;11;52 23.39299 N;008 20.83677 E;50.082;92.7;144.02;8101.7;-1.375;-28.250;17.571;369.380;8.5;66673
$;03:07:19;11:58:56;16.06.2022;Y;11;52 23.37484 N;008 20.86768 E;49.725;92.0;125.36;8087.5;-1.375;-28.125;16.571;370.0;8.5;66673
$;03:07:21;11:58:58;16.06.2022;Y;11;52 23.35640 N;008 20.91129 E;65.727;121.7;127.02;8073.6;-1.250;-28.125;16.357;370.649;8.5;66673
$;03:07:23;11:59:00;16.06.2022;Y;11;52 23.33058 N;008 20.95470 E;66.427;123.0;140.59;8060.1;-1.375;-27.875;15.533;371.410;8.5;66673
$;03:07:25;11:59:02;16.06.2022;Y;11;52 23.30461 N;008 20.98450 E;49.599;91.8;146.02;8046.0;-1.375;-28.0;15.808;372.89;8.5;66673
$;03:07:27;11:59:04;16.06.2022;Y;11;52 23.28621 N;008 21.01263 E;46.402;85.9;128.85;8032.2;-1.375;-27.750;16.434;372.790;8.5;66673
$;03:07:29;11:59:06;16.06.2022;Y;11;52 23.26862 N;008 21.05265 E;61.991;114.8;127.07;8019.4;-1.500;-27.625;17.609;373.579;8.5;66673
$;03:07:31;11:59:08;16.06.2022;Y;11;52 23.24336 N;008 21.09454 E;65.684;121.6;141.46;8005.4;-1.375;-27.625;18.181;374.269;8.5;66673
$;03:07:33;11:59:10;16.06.2022;Y;11;52 23.21671 N;008 21.12389 E;49.746;92.1;148.61;7991.1;-1.500;-27.500;17.288;374.880;8.5;66673
$;03:07:35;11:59:12;16.06.2022;Y;11;52 23.19745 N;008 21.15090 E;44.864;83.0;130.85;7977.4;-1.500;-27.500;32.28;375.660;8.5;66673
$;03:07:37;11:59:14;16.06.2022;Y;11;52 23.17983 N;008 21.18991 E;60.945;112.8;126.74;7964.4;-1.375;-27.375;16.609;376.399;8.5;66673
$;03:07:39;11:59:16;16.06.2022;Y;11;52 23.15470 N;008 21.23257 E;66.173;122.5;139.87;7950.9;-1.500;-27.250;17.517;377.100;8.5;66673
$;03:07:41;11:59:18;16.06.2022;Y;11;52 23.12713 N;008 21.26351 E;53.701;99.4;148.54;7937.7;-1.500;-27.125;19.89;377.769;8.5;66673
$;03:07:43;11:59:20;16.06.2022;Y;11;52 23.10649 N;008 21.28960 E;44.716;82.8;133.72;7923.9;-1.500;-26.875;18.501;378.489;8.5;66673
$;03:07:45;11:59:22;16.06.2022;Y;11;52 23.08898 N;008 21.32739 E;60.197;111.4;125.52;7909.9;-1.500;-26.875;17.769;379.190;8.5;66673
$;03:07:47;11:59:24;16.06.2022;Y;11;52 23.06486 N;008 21.37054 E;67.276;124.5;138.09;7896.6;-1.375;-26.875;17.52;379.950;8.5;66673
$;03:07:49;11:59:26;16.06.2022;Y;11;52 23.03751 N;008 21.40248 E;54.238;100.4;148.35;7882.9;-1.625;-26.750;17.204;380.750;8.5;66673
$;03:07:51;11:59:28;16.06.2022;Y;11;52 23.01713 N;008 21.42834 E;43.684;80.9;133.78;7868.6;-1.500;-26.500;17.441;381.250;8.5;66673
$;03:07:53;11:59:30;16.06.2022;Y;11;52 23.00000 N;008 21.46537 E;59.111;109.4;126.34;7854.5;-1.625;-26.375;18.875;382.49;8.5;66673
$;03:07:55;11:59:32;16.06.2022;Y;11;52 22.97571 N;008 21.50831 E;67.512;125.0;138.87;7840.5;-1.500;-26.375;20.203;383.10;8.5;66673
$;03:07:57;11:59:34;16.06.2022;Y;11;52 22.94727 N;008 21.54125 E;57.343;106.1;148.84;7826.6;-1.625;-26.250;19.539;383.489;8.5;66673
$;03:07:59;11:59:36;16.06.2022;Y;11;52 22.92478 N;008 21.56705 E;44.865;83.0;137.48;7812.6;-1.625;-26.0;19.562;384.160;8.5;66673
$;03:08:01;11:59:38;16.06.2022;Y;11;52 22.90707 N;008 21.60317 E;58.530;108.3;125.32;7798.8;-1.625;-25.750;18.555;384.890;8.5;66673
$;03:08:03;11:59:40;16.06.2022;Y;11;52 22.88360 N;008 21.64730 E;68.504;126.8;136.55;7785.9;-1.500;-26.0;17.990;385.679;8.5;66673
$;03:08:05;11:59:42;16.06.2022;Y;11;52 22.85519 N;008 21.68169 E;58.753;108.8;148.08;7772.5;-1.625;-25.625;18.166;386.339;8.5;66673
$;03:08:07;11:59:44;16.06.2022;Y;11;52 22.83223 N;008 21.70707 E;45.459;84.1;140.64;7758.9;-1.750;-25.750;19.51;386.890;8.5;66673
$;03:08:09;11:59:46;16.06.2022;Y;11;52 22.81434 N;008 21.74043 E;55.192;102.2;126.30;7746.0;-1.750;-25.500;19.943;387.790;8.5;66673
$;03:08:11;11:59:48;16.06.2022;Y;10;52 22.79170 N;008 21.78396 E;68.160;126.2;135.25;7731.8;-1.500;-25.625;20.264;388.589;8.5;66673
$;03:08:13;11:59:50;16.06.2022;Y;11;52 22.76290 N;008 21.82015 E;61.232;113.4;148.13;7717.5;-1.750;-25.375;20.409;389.170;8.5;66673
$;03:08:15;11:59:52;16.06.2022;Y;11;52 22.73819 N;008 21.84658 E;46.960;86.9;143.55;7704.5;-1.750;-25.375;19.661;389.850;8.5;66673
$;03:08:17;11:59:54;16.06.2022;Y;11;52 22.72004 N;008 21.87969 E;53.803;99.6;125.51;7691.2;-1.875;-25.250;19.409;390.750;8.5;66673
$;03:08:19;11:59:56;16.06.2022;Y;11;52 22.69817 N;008 21.92390 E;68.449;126.7;133.27;7677.6;-1.750;-25.125;19.310;391.529;8.5;66673
$;03:08:21;11:59:58;16.06.2022;Y;11;52 22.66948 N;008 21.96266 E;64.405;119.2;145.94;7663.6;-1.875;-25.0;19.623;392.70;8.5;66673
$;03:08:23;12:00:00;16.06.2022;Y;11;52 22.64316 N;008 21.99026 E;50.049;92.6;144.88;7649.9;-1.750;-24.875;21.301;392.739;8.5;66673
$;03:08:25;12:00:02;16.06.2022;Y;11;52 22.62392 N;008 22.02127 E;51.469;95.3;127.84;7636.8;-1.750;-24.750;21.538;393.549;8.5;66673
$;03:08:27;12:00:04;16.06.2022;Y;11;52 22.60319 N;008 22.06462 E;67.801;125.5;130.78;7622.6;-1.875;-24.750;21.652;394.250;8.5;66673
$;03:08:29;12:00:06;16.06.2022;Y;11;52 22.57520 N;008 22.10611 E;66.633;123.4;144.23;7608.2;-1.750;-24.625;22.522;395.70;8.5;66673
$;03:08:31;12:00:08;16.06.2022;Y;10;52 22.54836 N;008 22.13553 E;50.187;92.9;145.70;7594.5;-1.750;-24.375;22.133;395.640;8.5;66673
$;03:08:33;12:00:10;16.06.2022;Y;11;52 22.52941 N;008 22.16673 E;51.111;94.6;126.58;7581.0;-1.875;-24.250;22.285;396.390;8.5;66673
$;03:08:35;12:00:12;16.06.2022;Y;11;52 22.50974 N;008 22.21072 E;67.177;124.4;128.24;7567.8;-1.750;-24.250;21.523;397.130;8.5;66673
$;03:08:37;12:00:14;16.06.2022;Y;11;52 22.48274 N;008 22.25451 E;67.895;125.7;140.99;7554.3;-1.750;-24.250;21.790;397.859;8.5;66673
$;03:08:39;12:00:16;16.06.2022;Y;11;52 22.45558 N;008 22.28635 E;53.710;99.4;144.85;7540.8;-1.750;-24.0;22.247;398.440;8.5;66673
$;03:08:41;12:00:18;16.06.2022;Y;11;52 22.43584 N;008 22.31649 E;49.077;90.8;128.50;7527.7;-1.875;-23.750;23.140;399.190;8.5;66673
$;03:08:43;12:00:20;16.06.2022;Y;11;52 22.41809 N;008 22.35859 E;63.747;118.0;125.09;7514.5;-1.875;-23.875;24.231;400.10;8.5;66673
$;03:08:45;12:00:22;16.06.2022;Y;11;52 22.39337 N;008 22.40480 E;69.649;128.9;137.30;7500.8;-1.875;-23.750;25.543;400.779;8.5;66673
$;03:08:47;12:00:24;16.06.2022;Y;11;52 22.36529 N;008 22.44043 E;57.736;106.9;145.45;7487.7;-1.750;-23.625;25.200;401.420;8.5;66673
$;03:08:49;12:00:26;16.06.2022;Y;11;52 22.34368 N;008 22.46957 E;46.871;86.8;133.33;7474.8;-1.875;-23.625;25.253;402.79;8.5;66673
$;03:08:51;12:00:28;16.06.2022;Y;11;52 22.32669 N;008 22.50840 E;59.385;109.9;122.18;7461.6;-2.0;-23.375;24.193;402.679;8.5;66673
$;03:08:53;12:00:30;16.06.2022;Y;11;52 22.30428 N;008 22.55545 E;69.518;128.7;133.04;7449.1;-1.875;-23.375;23.872;403.480;8.5;66673
$;03:08:55;12:00:32;16.06.2022;Y;11;52 22.27623 N;008 22.59433 E;62.264;115.3;144.68;7436.1;-2.0;-23.375;24.33;404.339;8.5;66673
$;03:08:57;12:00:34;16.06.2022;Y;11;52 22.25236 N;008 22.62357 E;48.326;89.4;139.37;7422.8;-1.875;-23.125;24.521;405.70;8.5;66675
$;03:08:59;12:00:36;16.06.2022;Y;11;52 22.23458 N;008 22.65908 E;55.909;103.5;125.12;7409.3;-1.875;-23.0;24.963;405.679;8.5;66675
$;03:09:01;12:00:38;16.06.2022;Y;11;52 22.21292 N;008 22.70561 E;68.605;127.0;131.84;7396.3;-1.875;-23.125;26.695;406.540;8.5;66675
$;03:09:03;12:00:40;16.06.2022;Y;11;52 22.18501 N;008 22.74538 E;63.225;117.0;145.00;7383.5;-1.875;-23.0;27.92;407.149;8.5;66675
$;03:09:05;12:00:42;16.06.2022;Y;11;52 22.16011 N;008 22.77327 E;47.573;88.1;143.11;7370.1;-1.875;-22.750;26.520;407.890;8.5;66675
$;03:09:07;12:00:44;16.06.2022;Y;11;52 22.14187 N;008 22.80397 E;49.403;91.4;127.19;7357.1;-1.750;-22.750;25.826;408.630;8.5;66675
$;03:09:09;12:00:46;16.06.2022;Y;11;52 22.12185 N;008 22.84591 E;65.596;121.4;130.47;7344.5;-1.875;-22.625;25.246;409.420;8.5;66675
$;03:09:11;12:00:48;16.06.2022;Y;11;52 22.09454 N;008 22.88562 E;64.446;119.3;144.52;7331.0;-1.875;-22.500;25.391;410.279;8.5;66675
$;03:09:13;12:00:50;16.06.2022;Y;11;52 22.06862 N;008 22.91394 E;49.542;91.7;145.33;7317.6;-2.0;-22.500;25.513;410.940;8.5;66675
$;03:09:15;12:00:52;16.06.2022;Y;11;52 22.04963 N;008 22.94363 E;48.231;89.3;128.92;7305.1;-2.0;-22.250;25.887;411.480;8.5;66675
$;03:09:17;12:00:54;16.06.2022;Y;11;52 22.03074 N;008 22.98461 E;63.476;117.5;128.06;7292.5;-2.250;-22.250;25.688;412.279;8.5;66675
$;03:09:19;12:00:56;16.06.2022;Y;11;52 22.00435 N;008 23.02720 E;67.224;124.4;141.07;7278.7;-1.875;-22.125;26.558;412.950;8.5;66675
$;03:09:21;12:00:58;16.06.2022;Y;11;52 21.97677 N;008 23.05825 E;53.791;99.6;146.17;7264.9;-2.0;-22.0;27.672;413.779;8.5;66675
$;03:09:23;12:01:00;16.06.2022;Y;11;52 21.95641 N;008 23.08649 E;47.305;87.6;131.13;7252.0;-2.0;-21.750;27.687;414.410;8.5;66675
$;03:09:25;12:01:02;16.06.2022;Y;11;52 21.93822 N;008 23.12669 E;62.457;115.6;125.91;7239.0;-2.0;-21.750;27.588;415.179;8.5;66675
$;03:09:27;12:01:04;16.06.2022;Y;11;52 21.91348 N;008 23.17248 E;70.152;129.9;136.93;7226.1;-2.0;-21.875;27.466;415.820;8.5;66675
$;03:09:29;12:01:06;16.06.2022;Y;11;52 21.88498 N;008 23.20777 E;59.028;109.3;147.76;7212.7;-2.0;-21.750;35.294;416.559;8.5;66675
$;03:09:31;12:01:08;16.06.2022;Y;11;52 21.86194 N;008 23.23518 E;46.180;85.5;138.68;7199.1;-2.0;-21.625;37.582;417.440;8.5;66675
$;03:09:33;12:01:10;16.06.2022;Y;11;52 21.84333 N;008 23.27103 E;58.360;108.0;126.70;7186.9;-2.0;-21.375;27.725;418.250;8.5;66675
$;03:09:35;12:01:12;16.06.2022;Y;11;52 21.81898 N;008 23.31626 E;71.364;132.1;135.76;7173.4;-2.125;-21.250;28.15;418.920;8.5;66675
$;03:09:37;12:01:14;16.06.2022;Y;11;52 21.78894 N;008 23.35465 E;65.481;121.2;146.49;7160.0;-2.0;-21.250;28.534;419.529;8.5;66675
$;03:09:39;12:01:16;16.06.2022;Y;11;52 21.76268 N;008 23.38359 E;52.067;96.4;142.21;7147.6;-2.250;-21.0;29.121;420.390;8.5;66675
$;03:09:41;12:01:18;16.06.2022;Y;11;52 21.74331 N;008 23.41757 E;55.859;103.4;127.75;7134.6;-2.250;-20.750;30.426;421.40;8.5;66675
$;03:09:43;12:01:20;16.06.2022;Y;11;52 21.72146 N;008 23.46271 E;69.852;129.3;131.06;7121.9;-2.0;-20.875;30.670;421.790;8.5;66675
$;03:09:45;12:01:22;16.06.2022;Y;11;52 21.69260 N;008 23.50564 E;69.147;128.0;143.40;7109.1;-2.250;-21.0;31.326;422.459;8.5;66675
$;03:09:47;12:01:24;16.06.2022;Y;11;52 21.66470 N;008 23.53695 E;53.844;99.7;145.42;7095.9;-2.125;-20.625;31.487;423.190;8.5;66675
$;03:09:49;12:01:26;16.06.2022;Y;11;52 21.64423 N;008 23.56831 E;51.528;95.4;129.04;7082.9;-2.0;-20.500;30.785;423.869;8.5;66675
$;03:09:51;12:01:28;16.06.2022;Y;11;52 21.62455 N;008 23.61109 E;65.727;121.7;126.56;7070.0;-2.125;-20.500;29.861;424.519;8.5;66675
$;03:09:53;12:01:30;16.06.2022;Y;11;52 21.59826 N;008 23.65726 E;71.499;132.4;138.13;7057.9;-2.0;-20.500;29.709;425.299;8.5;66675
$;03:09:55;12:01:32;16.06.2022;Y;11;52 21.56888 N;008 23.69261 E;60.718;112.4;147.35;7045.3;-2.0;-20.375;29.923;426.130;8.5;66675
$;03:09:57;12:01:34;16.06.2022;Y;11;52 21.54505 N;008 23.72161 E;49.945;92.4;138.16;7033.4;-2.125;-20.375;69.809;426.880;8.5;66675
$;03:09:59;12:01:36;16.06.2022;Y;11;52 21.52577 N;008 23.75824 E;58.395;108.1;126.84;7021.4;-2.375;-20.125;30.106;427.529;8.5;66675
$;03:10:01;12:01:38;16.06.2022;Y;11;52 21.50211 N;008 23.80412 E;71.401;132.2;134.25;7008.8;-2.125;-20.125;29.923;428.250;8.5;66675
$;03:10:03;12:01:40;16.06.2022;Y;11;52 21.47209 N;008 23.84361 E;66.576;123.2;145.70;6995.0;-2.125;-20.125;30.45;429.0;8.5;66675
$;03:10:05;12:01:42;16.06.2022;Y;11;52 21.44511 N;008 23.87336 E;53.426;98.9;143.32;6983.1;-2.250;-20.0;31.235;429.450;8.5;66675
$;03:10:07;12:01:44;16.06.2022;Y;11;52 21.42495 N;008 23.90659 E;54.913;101.6;127.89;6971.9;-2.250;-19.875;31.441;430.290;8.5;66675
$;03:10:09;12:01:46;16.06.2022;Y;11;52 21.40367 N;008 23.95201 E;69.549;128.8;129.82;6959.5;-2.375;-20.0;31.471;431.109;8.5;66675
$;03:10:11;12:01:48;16.06.2022;Y;11;52 21.37560 N;008 23.99657 E;69.563;128.8;141.20;6946.7;-2.125;-19.875;31.982;431.739;8.5;66675
$;03:10:13;12:01:50;16.06.2022;Y;11;52 21.34804 N;008 24.02969 E;55.185;102.2;144.15;6934.2;-2.250;-19.625;31.685;432.410;8.5;66675
$;03:10:15;12:01:52;16.06.2022;Y;11;52 21.32767 N;008 24.06225 E;52.041;96.3;127.24;6921.5;-2.250;-19.500;31.197;433.119;8.5;66675
$;03:10:17;12:01:54;16.06.2022;Y;11;52 21.30880 N;008 24.10676 E;67.117;124.3;124.69;6909.0;-2.250;-19.500;29.968;433.829;8.5;66675
$;03:10:19;12:01:56;16.06.2022;Y;11;52 21.28341 N;008 24.15506 E;71.572;132.5;135.58;6896.8;-2.125;-19.375;29.991;434.500;8.5;66675
$;03:10:21;12:01:58;16.06.2022;Y;11;52 21.25468 N;008 24.19255 E;60.539;112.1;145.29;6884.7;-2.125;-19.500;47.340;435.100;8.5;66675
$;03:10:23;12:02:00;16.06.2022;Y;11;52 21.23158 N;008 24.22344 E;49.697;92.0;135.94;6872.7;-2.250;-19.375;29.724;435.850;8.5;66675
$;03:10:25;12:02:02;16.06.2022;Y;11;52 21.21338 N;008 24.26255 E;60.014;111.1;123.41;6861.9;-2.375;-19.125;28.793;436.679;8.5;66675
$;03:10:27;12:02:04;16.06.2022;Y;11;52 21.19079 N;008 24.31071 E;71.228;131.9;131.38;6849.6;-2.125;-19.125;28.290;437.459;8.5;66675
$;03:10:29;12:02:06;16.06.2022;Y;11;52 21.16243 N;008 24.35283 E;66.060;122.3;142.36;6837.0;-2.125;-19.0;28.99;438.119;8.5;66675
$;03:10:31;12:02:08;16.06.2022;Y;11;52 21.13708 N;008 24.38524 E;51.907;96.1;139.18;6824.6;-2.375;-18.875;60.989;438.739;8.5;66675
$;03:10:33;12:02:10;16.06.2022;Y;11;52 21.11857 N;008 24.42163 E;55.901;103.5;124.05;6812.2;-2.125;-18.500;28.511;439.369;8.5;66675
$;03:10:35;12:02:12;16.06.2022;Y;11;52 21.09854 N;008 24.46910 E;69.692;129.0;127.85;6799.9;-2.375;-18.625;28.992;440.160;8.5;66675
$;03:10:37;12:02:14;16.06.2022;Y;11;52 21.07152 N;008 24.51524 E;68.786;127.3;139.24;6788.4;-2.250;-18.500;29.243;440.890;8.5;66675
$;03:10:39;12:02:16;16.06.2022;Y;11;52 21.04480 N;008 24.54950 E;54.813;101.5;142.46;6776.4;-2.250;-18.375;28.824;441.529;8.5;66675
$;03:10:41;12:02:18;16.06.2022;Y;11;52 21.02503 N;008 24.58197 E;50.228;93.0;126.89;6764.2;-2.250;-18.125;27.786;442.160;8.5;66675
$;03:10:43;12:02:20;16.06.2022;Y;11;52 21.00714 N;008 24.62507 E;64.235;118.9;123.53;6752.2;-2.125;-18.125;26.245;442.859;8.5;66675
$;03:10:45;12:02:22;16.06.2022;Y;11;52 20.98296 N;008 24.67299 E;70.526;130.6;134.34;6741.0;-2.375;-18.125;25.658;443.700;8.5;66675
$;03:10:47;12:02:24;16.06.2022;Y;11;52 20.95541 N;008 24.71122 E;59.791;110.7;143.08;6730.0;-2.250;-18.125;25.314;444.279;8.5;66675
$;03:10:49;12:02:26;16.06.2022;Y;11;52 20.93371 N;008 24.74273 E;48.486;89.7;131.60;6718.1;-2.375;-17.875;25.467;445.140;8.5;66675
$;03:10:51;12:02:28;16.06.2022;Y;11;52 20.91674 N;008 24.78307 E;60.198;111.4;122.00;6706.0;-2.375;-17.750;24.788;445.730;8.5;66675
$;03:10:53;12:02:30;16.06.2022;Y;11;52 20.89478 N;008 24.83147 E;70.085;129.7;130.78;6694.5;-2.250;-17.750;24.460;446.359;8.5;66675
$;03:10:55;12:02:32;16.06.2022;Y;11;52 20.86672 N;008 24.87337 E;64.935;120.2;141.76;6682.9;-2.375;-17.625;24.628;446.950;8.5;66675
$;03:10:57;12:02:34;16.06.2022;Y;11;52 20.84142 N;008 24.90472 E;51.643;95.6;139.65;6671.4;-2.500;-17.625;25.47;447.720;8.5;66675
$;03:10:59;12:02:36;16.06.2022;Y;11;52 20.82278 N;008 24.93920 E;53.958;99.9;124.77;6660.3;-2.375;-17.375;24.757;448.350;8.5;66675
$;03:11:01;12:02:38;16.06.2022;Y;11;52 20.80365 N;008 24.98527 E;67.915;125.7;126.24;6649.0;-2.250;-17.375;24.361;449.59;8.5;66675
$;03:11:03;12:02:40;16.06.2022;Y;11;52 20.77762 N;008 25.03156 E;69.383;128.4;138.11;6637.6;-2.500;-17.375;25.208;449.690;8.5;66675
$;03:11:05;12:02:42;16.06.2022;Y;11;52 20.75038 N;008 25.06672 E;55.933;103.5;143.51;6626.0;-2.375;-17.125;26.505;450.279;8.5;66675
$;03:11:07;12:02:44;16.06.2022;Y;11;52 20.72993 N;008 25.09858 E;48.492;89.8;129.55;6614.8;-2.250;-17.125;24.620;451.59;8.5;66675
$;03:11:09;12:02:46;16.06.2022;Y;11;52 20.71218 N;008 25.13951 E;61.687;114.2;123.91;6604.8;-2.375;-16.875;21.904;451.790;8.5;66675
